,id,location,gender,department,study level,total_duration,most_used_group
0,1,1,1.0,12.0,1.0,24574986.0,3D-Printer
2,9,1,1.0,16.0,4.0,20308298.0,3D-Printer
3,10,1,1.0,7.0,2.0,1490776.0,Lasercutter
4,13,1,1.0,15.0,0.0,184357.0,3D-Printer
5,14,1,1.0,11.0,2.0,46438.0,Lasercutter
6,15,1,0.0,8.0,0.0,269975.0,Lasercutter
7,16,1,1.0,16.0,4.0,7257631.0,Toolbox
8,17,1,1.0,14.0,3.0,4949352.0,3D-Printer
9,18,1,1.0,7.0,2.0,272844.0,3D-Printer
10,19,1,1.0,14.0,2.0,23353.0,Lasercutter
11,20,1,0.0,14.0,2.0,90716.0,3D-Printer
12,21,1,1.0,12.0,0.0,13152.0,Lasercutter
13,22,1,0.0,11.0,1.0,9360.0,Lasercutter
14,23,1,0.0,11.0,1.0,68656.0,3D-Printer
15,24,1,1.0,11.0,1.0,19065.0,Dirt & Dust
16,25,1,1.0,9.0,0.0,3756.0,Lasercutter
17,26,1,1.0,11.0,1.0,13719.0,Lasercutter
18,27,1,1.0,12.0,0.0,20485.0,Lasercutter
19,28,1,1.0,11.0,2.0,259216.0,3D-Printer
20,30,1,1.0,12.0,0.0,12796903.0,Lasercutter
21,34,1,1.0,11.0,1.0,1069367.0,Lasercutter
22,35,1,1.0,16.0,3.0,23944.0,Toolbox
24,39,1,1.0,11.0,1.0,12406.0,3D-Printer
25,41,1,1.0,9.0,1.0,20255.0,3D-Printer
26,43,1,1.0,4.0,2.0,242808.0,3D-Printer
27,44,1,1.0,12.0,0.0,1160.0,Lasercutter
28,46,1,1.0,7.0,2.0,5268091.0,Lasercutter
29,49,1,1.0,4.0,1.0,6055.0,Toolbox
30,51,1,1.0,0.0,3.0,196938.0,Other
31,53,1,1.0,0.0,1.0,0.0,3D-Printer
32,54,1,0.0,15.0,1.0,12884.0,3D-Printer
33,56,1,1.0,2.0,2.0,3065.0,3D-Printer
34,57,1,1.0,14.0,0.0,181780.0,Lasercutter
35,58,1,1.0,9.0,0.0,28926.0,Lasercutter
36,59,1,1.0,12.0,1.0,9216555.0,3D-Printer
37,60,1,1.0,12.0,0.0,5.0,3D-Printer
38,61,1,1.0,9.0,1.0,4195.0,Lasercutter
39,62,1,1.0,4.0,1.0,104391.0,3D-Printer
40,63,1,0.0,14.0,1.0,21615.0,3D-Printer
41,66,1,1.0,2.0,1.0,11847.0,3D-Printer
42,67,1,1.0,12.0,3.0,4803882.0,3D-Printer
43,68,1,1.0,12.0,1.0,2842.0,Lasercutter
44,69,1,0.0,14.0,1.0,26712.0,3D-Printer
45,70,1,1.0,12.0,1.0,43827.0,Other
46,72,1,1.0,9.0,0.0,12693.0,3D-Printer
47,75,1,1.0,3.0,2.0,4803.0,Lasercutter
48,76,1,0.0,11.0,1.0,14062.0,Lasercutter
49,80,1,1.0,9.0,3.0,12387.0,Lasercutter
50,81,1,1.0,14.0,1.0,1353.0,Toolbox
51,82,1,1.0,8.0,0.0,638064.0,Toolbox
52,83,1,1.0,12.0,0.0,2234.0,Lasercutter
53,84,1,1.0,11.0,1.0,0.0,3D-Printer
54,86,1,0.0,7.0,1.0,444.0,3D-Printer
55,87,1,1.0,9.0,0.0,18708.0,Lasercutter
56,88,1,1.0,9.0,2.0,8.0,3D-Printer
57,89,1,1.0,12.0,0.0,1510.0,3D-Printer
58,92,1,1.0,9.0,1.0,1707.0,Lasercutter
59,93,1,1.0,9.0,1.0,3672612.0,Toolbox
60,94,1,1.0,12.0,1.0,0.0,3D-Printer
61,95,1,1.0,14.0,0.0,380.0,3D-Printer
62,98,1,1.0,0.0,0.0,4283.0,Lasercutter
63,103,1,1.0,4.0,2.0,446107.0,DLP Printer
64,105,1,1.0,7.0,2.0,27400.0,Lasercutter
65,106,1,1.0,14.0,1.0,3255.0,Lasercutter
66,108,1,1.0,4.0,1.0,1061662.0,Lasercutter
67,109,1,1.0,10.0,2.0,5787.0,Lasercutter
68,110,1,1.0,9.0,3.0,0.0,3D-Printer
69,114,1,1.0,11.0,0.0,2115894.0,3D-Printer
70,124,1,1.0,12.0,0.0,4744.0,Lasercutter
72,126,1,1.0,12.0,1.0,89253.0,3D-Printer
73,127,1,1.0,12.0,1.0,26768.0,Lasercutter
74,128,1,1.0,0.0,1.0,2519776.0,3D-Printer
75,129,1,1.0,14.0,2.0,2804945.0,Lasercutter
76,131,1,1.0,12.0,1.0,71121.0,Lasercutter
78,134,1,1.0,7.0,2.0,136240.0,Lasercutter
79,136,1,1.0,12.0,2.0,873.0,3D-Printer
80,137,1,1.0,1.0,1.0,0.0,3D-Printer
81,138,1,2.0,1.0,2.0,4128984.0,Toolbox
82,139,1,1.0,12.0,3.0,59733.0,3D-Printer
83,140,1,1.0,8.0,0.0,1268.0,Lasercutter
84,141,1,1.0,9.0,0.0,16113.0,Lasercutter
85,142,1,1.0,11.0,0.0,998.0,Lasercutter
86,143,1,1.0,9.0,1.0,5743003.0,3D-Printer
87,145,1,1.0,10.0,1.0,89345.0,Toolbox
88,147,1,1.0,14.0,1.0,15327.0,Lasercutter
89,149,1,1.0,11.0,3.0,5735.0,Lasercutter
90,150,1,1.0,11.0,0.0,791163.0,3D-Printer
91,151,1,1.0,2.0,2.0,3094065.0,3D-Printer
92,152,1,1.0,14.0,3.0,1123.0,Lasercutter
93,156,1,1.0,14.0,2.0,234796.0,Lasercutter
94,157,1,1.0,14.0,2.0,3307342.0,3D-Printer
95,158,1,1.0,12.0,0.0,1985.0,Lasercutter
96,159,1,1.0,12.0,0.0,184083.0,3D-Printer
98,164,1,0.0,1.0,2.0,0.0,3D-Printer
100,167,1,1.0,4.0,1.0,6800.0,Lasercutter
101,168,1,1.0,4.0,2.0,10690.0,Lasercutter
102,170,1,1.0,15.0,3.0,28057.0,Toolbox
103,176,1,1.0,14.0,3.0,0.0,Lasercutter
104,177,1,0.0,2.0,3.0,97018.0,Lasercutter
105,188,1,1.0,9.0,1.0,16592.0,Toolbox
107,210,1,1.0,12.0,2.0,0.0,3D-Printer
108,214,1,1.0,12.0,0.0,550471.0,Lasercutter
109,218,1,1.0,4.0,2.0,240.0,Lasercutter
110,219,1,1.0,4.0,2.0,61385.0,3D-Printer
112,228,1,1.0,2.0,2.0,0.0,Lasercutter
113,229,1,1.0,9.0,2.0,3199.0,Lasercutter
114,230,1,1.0,9.0,2.0,10197.0,Lasercutter
115,231,1,1.0,11.0,3.0,662.0,Lasercutter
116,232,1,1.0,12.0,3.0,18366.0,Lasercutter
118,239,1,1.0,14.0,1.0,59898.0,Toolbox
119,240,1,1.0,14.0,1.0,5010.0,Lasercutter
120,241,1,1.0,14.0,2.0,6069.0,Lasercutter
121,243,1,1.0,14.0,1.0,613752.0,3D-Printer
122,244,1,0.0,14.0,1.0,440.0,3D-Printer
123,245,1,1.0,9.0,1.0,1165.0,3D-Printer
124,246,1,1.0,11.0,1.0,2723.0,Lasercutter
125,247,1,1.0,12.0,0.0,1176.0,Lasercutter
126,248,1,1.0,12.0,3.0,6097.0,Lasercutter
127,249,1,1.0,11.0,1.0,9874.0,3D-Printer
128,258,1,0.0,11.0,3.0,1105.0,Lasercutter
129,262,1,1.0,14.0,1.0,246671.0,3D-Printer
130,263,1,1.0,14.0,1.0,0.0,3D-Printer
131,264,1,1.0,14.0,0.0,248419.0,Toolbox
132,272,1,1.0,14.0,1.0,35721.0,Dirt & Dust
133,276,1,1.0,14.0,1.0,974156.0,3D-Printer
134,280,1,1.0,12.0,1.0,10422.0,Lasercutter
135,281,1,1.0,7.0,0.0,0.0,3D-Printer
136,282,1,0.0,2.0,0.0,16485.0,Lasercutter
137,283,1,1.0,4.0,1.0,2782504.0,3D-Printer
138,284,1,1.0,12.0,1.0,1860.0,Lasercutter
139,288,1,0.0,4.0,1.0,2839.0,Lasercutter
140,289,1,1.0,14.0,0.0,86.0,Toolbox
143,306,1,0.0,7.0,3.0,4910.0,Lasercutter
144,308,2,0.0,7.0,2.0,349390.0,3D-Printer
146,312,1,0.0,15.0,1.0,162556.0,Toolbox
147,313,1,1.0,12.0,1.0,1715.0,Lasercutter
148,315,1,0.0,8.0,1.0,3171.0,Lasercutter
149,316,1,0.0,0.0,1.0,140202.0,Lasercutter
150,318,1,1.0,0.0,0.0,675.0,Lasercutter
151,319,1,1.0,8.0,0.0,2936.0,Lasercutter
152,320,1,1.0,8.0,0.0,2468981.0,Lasercutter
153,322,1,1.0,0.0,0.0,4668.0,Lasercutter
154,323,1,0.0,9.0,1.0,20079.0,Lasercutter
155,324,1,1.0,12.0,1.0,423640.0,3D-Printer
157,329,1,1.0,16.0,3.0,34523.0,Toolbox
158,332,1,1.0,12.0,1.0,6730.0,Lasercutter
159,333,1,1.0,14.0,1.0,274096.0,Lasercutter
161,337,1,1.0,2.0,1.0,8915.0,3D-Printer
162,339,1,1.0,12.0,0.0,661089.0,3D-Printer
163,340,1,1.0,12.0,0.0,20175.0,3D-Printer
165,343,1,1.0,9.0,1.0,738748.0,3D-Printer
166,345,1,1.0,14.0,1.0,443.0,3D-Printer
167,347,1,1.0,8.0,0.0,901749.0,Lasercutter
168,353,1,0.0,7.0,2.0,12445721.0,3D-Printer
169,359,1,1.0,12.0,1.0,87194.0,3D-Printer
170,362,1,1.0,2.0,3.0,8955.0,3D-Printer
172,371,1,0.0,1.0,3.0,3503.0,Lasercutter
173,374,1,1.0,4.0,1.0,1050.0,Lasercutter
174,375,1,0.0,12.0,2.0,3615.0,Lasercutter
175,376,1,1.0,2.0,3.0,6462066.0,3D-Printer
176,378,1,1.0,12.0,1.0,157853.0,Lasercutter
177,379,1,1.0,12.0,0.0,2036575.0,3D-Printer
178,380,1,1.0,12.0,1.0,17856.0,Lasercutter
180,384,1,1.0,7.0,1.0,2073.0,Lasercutter
182,388,1,0.0,8.0,0.0,4557029.0,3D-Printer
183,389,1,1.0,9.0,0.0,1874247.0,3D-Printer
184,391,1,1.0,7.0,2.0,12724.0,Lasercutter
185,392,1,1.0,4.0,1.0,595035.0,3D-Printer
186,393,1,1.0,14.0,2.0,27435.0,Lasercutter
187,395,1,1.0,14.0,2.0,5824.0,Lasercutter
189,401,1,1.0,17.0,0.0,813679.0,3D-Printer
191,403,1,0.0,12.0,0.0,26684727.0,3D-Printer
192,404,1,1.0,12.0,0.0,1831858.0,Lasercutter
193,406,1,1.0,8.0,1.0,385.0,Lasercutter
196,411,1,1.0,12.0,1.0,745553.0,Lasercutter
197,412,1,0.0,16.0,2.0,17393.0,Lasercutter
198,415,1,1.0,12.0,1.0,38180.0,Toolbox
199,416,1,1.0,9.0,0.0,7202.0,Lasercutter
204,429,1,1.0,8.0,1.0,19102.0,3D-Printer
205,430,1,1.0,9.0,3.0,0.0,3D-Printer
206,431,1,1.0,10.0,0.0,154552.0,Dirt & Dust
207,433,1,1.0,14.0,2.0,3656.0,Lasercutter
208,435,1,1.0,12.0,1.0,5444.0,3D-Printer
209,439,1,0.0,8.0,1.0,586760.0,3D-Printer
210,440,1,0.0,12.0,1.0,4087.0,Lasercutter
211,444,1,1.0,9.0,0.0,6949.0,3D-Printer
212,446,1,1.0,9.0,3.0,68953.0,3D-Printer
213,447,1,1.0,8.0,0.0,0.0,3D-Printer
214,448,1,1.0,7.0,3.0,4730.0,3D-Printer
215,449,1,1.0,14.0,0.0,8585.0,3D-Printer
216,453,2,1.0,10.0,0.0,3257.0,Toolbox
217,454,1,1.0,11.0,1.0,218310.0,3D-Printer
218,455,1,1.0,1.0,3.0,420073.0,Lasercutter
219,456,1,1.0,9.0,1.0,2552.0,Lasercutter
220,457,1,1.0,12.0,0.0,15327.0,Lasercutter
221,458,1,1.0,14.0,3.0,9277.0,Lasercutter
222,459,1,1.0,12.0,3.0,10128.0,Lasercutter
223,460,1,1.0,7.0,1.0,5728.0,3D-Printer
224,462,1,1.0,14.0,3.0,868178.0,3D-Printer
225,463,1,1.0,9.0,1.0,3466449.0,Lasercutter
226,464,1,1.0,8.0,0.0,7367.0,3D-Printer
227,467,1,1.0,12.0,0.0,377902.0,3D-Printer
228,469,1,1.0,12.0,0.0,1016782.0,3D-Printer
231,475,1,1.0,15.0,0.0,8693.0,Toolbox
232,476,1,1.0,9.0,0.0,27711044.0,3D-Printer
233,478,1,0.0,4.0,1.0,0.0,3D-Printer
234,479,1,1.0,2.0,0.0,406.0,3D-Printer
235,480,1,1.0,12.0,0.0,20656143.0,3D-Printer
236,481,1,1.0,12.0,0.0,498985.0,3D-Printer
237,482,1,1.0,12.0,1.0,3536.0,Lasercutter
238,483,1,1.0,16.0,3.0,895463.0,3D-Printer
239,484,1,1.0,12.0,0.0,10414.0,Lasercutter
240,485,1,1.0,14.0,3.0,16058.0,Lasercutter
241,486,1,1.0,12.0,0.0,1895669.0,Lasercutter
242,487,2,1.0,15.0,0.0,7626.0,3D-Printer
243,488,1,1.0,5.0,2.0,53.0,3D-Printer
244,490,1,1.0,12.0,1.0,865426.0,3D-Printer
245,492,1,1.0,7.0,1.0,9748.0,3D-Printer
246,495,1,1.0,14.0,0.0,118084.0,3D-Printer
247,496,1,1.0,14.0,2.0,44451.0,Lasercutter
248,499,1,1.0,12.0,1.0,146347.0,Lasercutter
249,500,1,1.0,12.0,1.0,3982.0,3D-Printer
250,502,1,1.0,8.0,1.0,4238.0,Toolbox
251,504,1,1.0,12.0,0.0,21646.0,Other
252,506,1,1.0,15.0,1.0,32000.0,Lasercutter
253,508,1,1.0,12.0,0.0,1061953.0,Toolbox
254,509,1,1.0,12.0,1.0,0.0,3D-Printer
255,511,1,1.0,14.0,2.0,2199.0,Lasercutter
256,512,1,0.0,1.0,2.0,2033.0,Lasercutter
258,514,1,1.0,1.0,3.0,8163.0,Toolbox
259,515,1,0.0,17.0,3.0,4045.0,Lasercutter
261,518,1,1.0,12.0,1.0,12925.0,Lasercutter
262,519,2,1.0,12.0,1.0,11526.0,Toolbox
263,521,1,1.0,0.0,1.0,4292.0,3D-Printer
